iter	R2	RMSE
0	0.002385154509	3.970569479
1	0.004795338924	3.965770108
2	0.007059643275	3.961256084
3	0.009429406128	3.956526363
4	0.01174803231	3.951893061
5	0.01409262927	3.947202446
6	0.01635007885	3.942680923
7	0.0186711938	3.938026443
8	0.02093517549	3.933481248
9	0.02308206161	3.929165981
10	0.02539340759	3.924515093
11	0.0276512486	3.919966732
12	0.02988713124	3.915457115
13	0.03211615954	3.910956394
14	0.03433955887	3.906461688
15	0.03658491195	3.9019174
16	0.03873825568	3.89755439
17	0.04090337434	3.893162439
18	0.0430657285	3.88877138
19	0.04518695978	3.884458707
20	0.0473422138	3.880072231
21	0.04950523701	3.87566476
22	0.05163809736	3.871313979
23	0.05374371724	3.867013744
24	0.05587506716	3.86265639
25	0.0579934157	3.858320424
26	0.06004533005	3.854116036
27	0.06210639463	3.849888419
28	0.06416111935	3.845668668
29	0.06623801475	3.841399179
30	0.06826816999	3.837220948
31	0.07035094647	3.832929721
32	0.07239727892	3.828708764
33	0.07443289406	3.824505572
34	0.07645726517	3.820320775
35	0.07847164997	3.816152026
36	0.08045518426	3.812042993
37	0.08239664903	3.808016618
38	0.08435577094	3.803949291
39	0.08633084367	3.799844564
40	0.08831774966	3.795710615
41	0.09025402388	3.791677513
42	0.09214634111	3.787732181
43	0.09412396245	3.783604426
44	0.09599709009	3.779690835
45	0.09794054855	3.775625556
46	0.09983956083	3.771649165
47	0.1016718275	3.767808739
48	0.1035400869	3.763888721
49	0.1054474293	3.759882462
50	0.1073751993	3.755828943
51	0.1092347486	3.751914834
52	0.1110937973	3.747997571
53	0.1128814285	3.744227071
54	0.1146987855	3.740389838
55	0.1164404513	3.73670873
56	0.1182238347	3.732935735
57	0.1200893578	3.728984924
58	0.1218812032	3.725186137
59	0.1236671849	3.721395816
60	0.1255309396	3.717436625
61	0.1272651066	3.71374867
62	0.1289911912	3.710074384
63	0.1307391512	3.70634971
64	0.1324377482	3.702726691
65	0.1342151797	3.698931809
66	0.135964709	3.695192706
67	0.1376356318	3.691617998
68	0.1393141308	3.688023454
69	0.1409857115	3.684440365
70	0.1426565765	3.680855453
71	0.1443913164	3.6771295
72	0.1460599007	3.673542218
73	0.1477194487	3.669970861
74	0.1492969356	3.666573114
75	0.1509770461	3.662950409
76	0.1526132185	3.659419291
77	0.1542770536	3.655825042
78	0.1558699647	3.652380474
79	0.1575142257	3.64882162
80	0.159126422	3.645328666
81	0.1607149055	3.641883902
82	0.1623127917	3.638415553
83	0.1639487598	3.634860841
84	0.1655033453	3.631479762
85	0.1670686544	3.628072377
86	0.1686948489	3.624528767
87	0.1702229407	3.621196157
88	0.1718699894	3.617600458
89	0.1733666827	3.614329977
90	0.1748550403	3.611074709
91	0.176479923	3.607517312
92	0.1780824849	3.60400545
93	0.1797000328	3.600457475
94	0.1812008639	3.597162164
95	0.1826620053	3.593951364
96	0.1841622795	3.590651301
97	0.1857028679	3.587259411
98	0.1871798753	3.584004703
99	0.18868011	3.580695595
100	0.190190396	3.577361411
101	0.1917496943	3.57391553
102	0.1933018993	3.570481885
103	0.1948026916	3.567159252
104	0.1962618522	3.563925595
105	0.1976922024	3.560752898
106	0.1992077779	3.557388339
107	0.2006167242	3.554257446
108	0.2020780821	3.55100699
109	0.2035277764	3.5477797
110	0.2049510858	3.544608474
111	0.2063260734	3.541542015
112	0.2078078273	3.538234496
113	0.2091795495	3.53516981
114	0.2105751134	3.5320492
115	0.2119465458	3.528979762
116	0.2133419632	3.52585417
117	0.2147537888	3.522688667
118	0.2161578226	3.519537971
119	0.2175515618	3.516407594
120	0.2188837831	3.513412785
121	0.2201857894	3.510483347
122	0.2215137697	3.507492835
123	0.2228664606	3.504444463
124	0.2242690697	3.501280348
125	0.2256123034	3.498247824
126	0.2269438873	3.495238832
127	0.2282174321	3.492358545
128	0.2295526713	3.489336073
129	0.2308116884	3.486484039
130	0.2320710926	3.483628666
131	0.2334302458	3.480544434
132	0.2346779388	3.477710604
133	0.2359615476	3.474792997
134	0.2372439816	3.471875711
135	0.2384974045	3.469021682
136	0.2397431776	3.466183102
137	0.2409805293	3.463361271
138	0.2423039461	3.460340656
139	0.243496224	3.457617063
140	0.2447689421	3.454707309
141	0.2460680097	3.45173464
142	0.2472968238	3.448920778
143	0.2485652342	3.446013585
144	0.2498416311	3.443085511
145	0.2510588941	3.4402909
146	0.2522472404	3.437560585
147	0.2534321303	3.434835743
148	0.2546827816	3.431957668
149	0.2559305226	3.429083559
150	0.2570669114	3.426464217
151	0.2582679702	3.423693355
152	0.2594936205	3.420863589
153	0.2606789984	3.418124412
154	0.2618875391	3.415329362
155	0.2631034264	3.412515355
156	0.2642555071	3.409846717
157	0.2653799711	3.407240066
158	0.266484308	3.404678069
159	0.267580178	3.402133947
160	0.2687063685	3.399517136
161	0.2697975868	3.396979839
162	0.2709446474	3.394310588
163	0.2720760442	3.391675872
164	0.2731757238	3.389112953
165	0.2742439151	3.386621735
166	0.2754067021	3.383907594
167	0.2764953622	3.381364536
168	0.2775642395	3.378865793
169	0.2786526081	3.376319715
170	0.27973004	3.373797394
171	0.2808654703	3.371137042
172	0.2819351328	3.368628894
173	0.2829850186	3.366165409
174	0.2841120068	3.363519054
175	0.2852050767	3.360950155
176	0.2862362036	3.358525071
177	0.2872559396	3.35612509
178	0.2883243901	3.353608585
179	0.2893278452	3.351243728
180	0.2903612611	3.348805866
181	0.2914516597	3.34623234
182	0.2924896128	3.343780357
183	0.2935106463	3.341366905
184	0.2945045584	3.339015523
185	0.2955403118	3.336563744
186	0.2965979442	3.334058195
187	0.2976517314	3.331559692
188	0.2986754816	3.329130678
189	0.2996747501	3.326758021
190	0.3006690311	3.32439578
191	0.3016467119	3.322071239
192	0.302614737	3.319768002
193	0.3035896778	3.31744668
194	0.3045623591	3.315129012
195	0.3055242656	3.312835476
196	0.3064680026	3.310583833
197	0.3075130153	3.30808863
198	0.308494135	3.305744415
199	0.3094185422	3.303534161
200	0.3104318209	3.301109575
201	0.3113501265	3.298910805
202	0.3123442872	3.296528742
203	0.3133060895	3.294222522
204	0.3142671959	3.291916414
205	0.315269955	3.289508669
206	0.3161886553	3.287301075
207	0.3171583386	3.284969463
208	0.3181355487	3.282618069
209	0.319013507	3.280504134
210	0.3199883037	3.278155276
211	0.3209515519	3.275832782
212	0.3218755575	3.273603268
213	0.3228177008	3.271328366
214	0.3236989227	3.269199101
215	0.3245688512	3.267095902
216	0.3254968692	3.264850639
217	0.3264269731	3.262598868
218	0.3273483635	3.260366746
219	0.3282438776	3.258195538
220	0.329169238	3.255950722
221	0.3300664158	3.253772667
222	0.3309769815	3.25156086
223	0.3318484355	3.24944234
224	0.3326910472	3.247392633
225	0.3335889175	3.245207352
226	0.3344248096	3.243171428
227	0.3352882776	3.241066999
228	0.3361775655	3.238898252
229	0.3369961687	3.236900668
230	0.3378865911	3.234726288
231	0.3387440629	3.232631114
232	0.3395802454	3.230586452
233	0.3404250296	3.228519489
234	0.3412993177	3.226379195
235	0.3421739604	3.224236258
236	0.3429971428	3.22221845
237	0.3437995548	3.220250057
238	0.3445719486	3.21835428
239	0.3454230177	3.216263949
240	0.3462601148	3.214206969
241	0.3470192673	3.212340179
242	0.347833599	3.210336427
243	0.3486414555	3.20834738
244	0.3494659132	3.206316434
245	0.3503032102	3.204252249
246	0.35109571	3.202297406
247	0.3519098531	3.200287913
248	0.3527430062	3.198230235
249	0.3535093403	3.196336455
250	0.3543159754	3.194341567
251	0.3551003227	3.192400938
252	0.3559141004	3.190386035
253	0.356699296	3.188440667
254	0.3574626208	3.186548483
255	0.3581928378	3.184737469
256	0.3589596119	3.182834287
257	0.35973005	3.180921163
258	0.3604811686	3.179054645
259	0.3612579941	3.177123545
260	0.3620502323	3.175152551
261	0.3627964084	3.173295049
262	0.3635693262	3.171369824
263	0.3643198359	3.169499338
264	0.3650665307	3.167637277
265	0.3658290786	3.165734595
266	0.3665856256	3.163845703
267	0.3673107619	3.162034278
268	0.3680277719	3.16024189
269	0.3687431498	3.158452778
270	0.3694382915	3.156713243
271	0.370136999	3.154963873
