iter	Passed	Remaining
0	65	65054
1	128	63895
2	196	65308
3	265	66220
4	334	66517
5	392	65105
6	461	65493
7	529	65643
8	598	65862
9	667	66049
10	742	66796
11	811	66819
12	887	67387
13	954	67225
14	1022	67126
15	1144	70392
16	1211	70074
17	1344	73358
18	1445	74650
19	1515	74255
20	1584	73858
21	1652	73475
22	1720	73103
23	1788	72749
24	1856	72405
25	1923	72067
26	1991	71762
27	2059	71493
28	2127	71224
29	2194	70958
30	2262	70718
31	2330	70507
32	2399	70298
33	2466	70083
34	2534	69874
35	2603	69702
36	2672	69547
37	2742	69434
38	2819	69485
39	2886	69281
40	2954	69109
41	3027	69049
42	3103	69064
43	3172	68928
44	3240	68779
45	3308	68611
46	3376	68470
47	3445	68328
48	3512	68179
49	3594	68295
50	3676	68403
51	3744	68256
52	3813	68146
53	3882	68013
54	3949	67865
55	4020	67767
56	4089	67659
57	4158	67539
58	4227	67427
59	4294	67282
60	4361	67135
61	4429	67006
62	4497	66884
63	4564	66761
64	4633	66653
65	4701	66535
66	4770	66426
67	4839	66323
68	4906	66198
69	4973	66081
70	5048	66055
71	5121	66006
72	5191	65927
73	5260	65821
74	5327	65704
75	5397	65622
76	5472	65601
77	5541	65507
78	5609	65395
79	5680	65321
80	5748	65219
81	5859	65598
82	5928	65495
83	5997	65396
84	6066	65302
85	6135	65209
86	6205	65120
87	6275	65037
88	6342	64925
89	6412	64839
90	6480	64732
91	6547	64618
92	6615	64516
93	6671	64304
94	6741	64223
95	6809	64122
96	6878	64032
97	6944	63919
98	7015	63847
99	7084	63761
100	7151	63651
101	7219	63555
102	7286	63457
103	7353	63353
104	7421	63260
105	7490	63172
106	7558	63083
107	7626	62989
108	7694	62897
109	7763	62816
110	7831	62721
111	7901	62648
112	8012	62893
113	8083	62823
114	8152	62739
115	8220	62642
116	8288	62549
117	8356	62462
118	8424	62367
119	8492	62279
120	8562	62199
121	8630	62110
122	8697	62011
123	8763	61908
124	8831	61821
125	8899	61734
126	8933	61407
127	9004	61340
128	9074	61272
129	9144	61197
130	9221	61169
131	9290	61092
132	9366	61055
133	9412	60827
134	9456	60592
135	9524	60510
136	9593	60431
137	9662	60353
138	9729	60269
139	9798	60188
140	9832	59901
141	9900	59821
142	9971	59761
143	10041	59691
144	10115	59646
145	10201	59669
146	10256	59516
147	10325	59442
148	10402	59410
149	10511	59564
150	10580	59489
151	10649	59413
152	10718	59339
153	10786	59254
154	10855	59178
155	10889	58913
156	10958	58842
157	11028	58772
158	11092	58671
159	11161	58596
160	11229	58521
161	11297	58441
162	11364	58357
163	11440	58317
164	11508	58242
165	11577	58166
166	11646	58092
167	11703	57959
168	11771	57882
169	11838	57798
170	11905	57715
171	11973	57641
172	12042	57566
173	12109	57486
174	12177	57410
175	12246	57337
176	12314	57258
177	12417	57342
178	12484	57261
179	12553	57188
180	12620	57104
181	12690	57035
182	12758	56958
183	12792	56731
184	12859	56651
185	12928	56578
186	12996	56501
187	13065	56431
188	13098	56205
189	13167	56133
190	13235	56062
191	13306	55999
192	13376	55931
193	13451	55884
194	13518	55806
195	13587	55738
196	13663	55693
197	13731	55619
198	13801	55550
199	13868	55472
200	13937	55404
201	14006	55334
202	14073	55255
203	14118	55088
204	14172	54960
205	14241	54891
206	14311	54825
207	14380	54754
208	14457	54715
209	14526	54647
210	14606	54618
211	14676	54550
212	14745	54482
213	14814	54412
214	14884	54344
215	14952	54270
216	15018	54189
217	15086	54118
218	15153	54041
219	15221	53966
220	15288	53890
221	15359	53828
222	15435	53782
223	15504	53713
224	15574	53647
225	15643	53575
226	15712	53504
227	15779	53427
228	15854	53377
229	15928	53325
230	15999	53262
231	16077	53222
232	16146	53151
233	16212	53072
234	16282	53006
235	16353	52940
236	16422	52869
237	16491	52800
238	16565	52747
239	16635	52677
240	16704	52609
241	16801	52625
242	16871	52558
243	16940	52487
244	17008	52412
245	17076	52340
246	17145	52270
247	17213	52195
248	17281	52122
249	17350	52051
250	17419	51981
251	17488	51909
252	17554	51830
253	17622	51758
254	17692	51691
255	17762	51621
256	17833	51558
257	17909	51507
258	17976	51432
259	18046	51362
260	18115	51291
261	18182	51217
262	18250	51143
263	18319	51073
264	18386	50995
265	18455	50925
266	18524	50855
267	18592	50783
268	18661	50712
269	18729	50638
270	18797	50567
271	18867	50498
272	18962	50497
273	19031	50425
274	19103	50363
275	19172	50293
276	19241	50221
277	19310	50150
278	19379	50081
279	19446	50005
280	19516	49937
281	19583	49862
282	19653	49793
283	19721	49719
284	19789	49648
285	19860	49580
286	19927	49507
287	20003	49453
288	20072	49383
289	20143	49317
290	20211	49244
291	20279	49171
292	20347	49098
293	20416	49028
294	20484	48953
295	20551	48880
296	20620	48807
297	20690	48741
298	20759	48669
299	20827	48598
300	20895	48523
301	20969	48465
302	21035	48389
303	21107	48325
304	21229	48375
305	21299	48306
306	21368	48236
307	21439	48168
308	21508	48097
309	21576	48024
310	21644	47952
311	21712	47879
312	21781	47808
313	21849	47735
314	21919	47665
315	22003	47627
316	22072	47557
317	22148	47501
318	22218	47432
319	22286	47359
320	22360	47297
321	22429	47227
322	22498	47156
323	22566	47082
324	22634	47009
325	22704	46940
326	22774	46871
327	22842	46800
328	22911	46727
329	22978	46652
330	23047	46582
331	23116	46511
332	23183	46437
333	23251	46364
334	23349	46350
335	23419	46282
336	23490	46213
337	23558	46140
338	23627	46070
339	23696	45998
340	23766	45930
341	23834	45857
342	23903	45786
343	23972	45715
344	24040	45641
345	24108	45570
346	24177	45499
347	24247	45428
348	24313	45353
349	24382	45282
350	24450	45209
351	24518	45136
352	24587	45064
353	24656	44994
354	24725	44923
355	24794	44853
356	24862	44780
357	24931	44710
358	25001	44640
359	25069	44567
360	25136	44493
361	25202	44418
362	25272	44348
363	25339	44275
364	25408	44204
365	25474	44128
366	25569	44102
367	25639	44033
368	25707	43960
369	25777	43892
370	25845	43819
371	25919	43757
372	25992	43692
373	26058	43617
374	26129	43549
375	26199	43480
376	26269	43410
377	26337	43338
378	26422	43294
379	26493	43225
380	26561	43153
381	26630	43082
382	26701	43015
383	26771	42946
384	26839	42873
385	26907	42801
386	26975	42729
387	27044	42658
388	27113	42587
389	27181	42515
390	27250	42443
391	27319	42372
392	27385	42297
393	27452	42224
394	27521	42152
395	27587	42078
396	27684	42049
397	27792	42037
398	27861	41967
399	27932	41898
400	28000	41826
401	28068	41754
402	28138	41684
403	28207	41612
404	28274	41539
405	28344	41469
406	28411	41395
407	28479	41323
408	28556	41263
409	28626	41193
410	28696	41124
411	28778	41072
412	28847	41001
413	28916	40929
414	28984	40857
415	29061	40798
416	29129	40724
417	29196	40651
418	29266	40581
419	29337	40513
420	29404	40440
421	29474	40370
422	29544	40299
423	29612	40227
424	29681	40156
425	29749	40085
426	29817	40012
427	29888	39945
428	30032	39972
429	30101	39901
430	30213	39887
431	30283	39816
432	30353	39746
433	30422	39675
434	30493	39606
435	30562	39534
436	30633	39465
437	30713	39408
438	30782	39337
439	30851	39265
440	30922	39196
441	30992	39125
442	31063	39057
443	31134	38988
444	31203	38916
445	31270	38843
446	31340	38772
447	31409	38700
448	31478	38629
449	31547	38558
450	31615	38485
451	31689	38420
452	31759	38349
453	31826	38275
454	31894	38203
455	31961	38130
456	32031	38059
457	32098	37985
458	32200	37953
459	32271	37883
460	32342	37814
461	32411	37743
462	32479	37671
463	32549	37600
464	32617	37527
465	32689	37459
466	32759	37389
467	32828	37317
468	32896	37245
469	32963	37172
470	33032	37100
471	33102	37029
472	33172	36959
473	33239	36886
474	33308	36814
475	33376	36742
476	33445	36671
477	33515	36600
478	33585	36530
479	33656	36461
480	33725	36389
481	33794	36318
482	33862	36246
